Date,Close,Year
1997/5/15,1.5,1997
1997/6/02,1.541667,1997
1997/7/01,2.395833,1997
1997/8/01,2.338542,1997
1997/9/02,4.338542,1997
1997/10/01,5.083333,1997
1997/11/03,4.125,1997
1997/12/01,5.020833,1997
1998/1/02,4.916667,1998
1998/2/02,6.416667,1998
1998/3/02,7.1276,1998
1998/4/01,7.645833,1998
1998/5/01,7.34375,1998
1998/6/01,16.625,1998
1998/7/01,18.479166,1998
1998/8/03,13.958333,1998
1998/9/01,18.604166,1998
1998/10/01,21.072916,1998
1998/11/02,32,1998
1998/12/01,53.541668,1998
1999/1/04,58.46875,1999
1999/2/01,64.0625,1999
1999/3/01,86.09375,1999
1999/4/01,86.03125,1999
1999/5/03,59.375,1999
1999/6/01,62.5625,1999
1999/7/01,50.03125,1999
1999/8/02,62.1875,1999
1999/9/01,79.9375,1999
1999/10/01,70.625,1999
1999/11/01,85.0625,1999
1999/12/01,76.125,1999
2000/1/03,64.5625,2000
2000/2/01,68.875,2000
2000/3/01,67,2000
2000/4/03,55.1875,2000
2000/5/01,48.3125,2000
2000/6/01,36.3125,2000
2000/7/03,30.125,2000
2000/8/01,41.5,2000
2000/9/01,38.4375,2000
2000/10/02,36.625,2000
2000/11/01,24.6875,2000
2000/12/01,15.5625,2000
2001/1/02,17.3125,2001
2001/2/01,10.1875,2001
2001/3/01,10.23,2001
2001/4/02,15.78,2001
2001/5/01,16.690001,2001
2001/6/01,14.15,2001
2001/7/02,12.49,2001
2001/8/01,8.94,2001
2001/9/04,5.97,2001
2001/10/01,6.98,2001
2001/11/01,11.32,2001
2001/12/03,10.82,2001
2002/1/02,14.19,2002
2002/2/01,14.1,2002
2002/3/01,14.3,2002
2002/4/01,16.690001,2002
2002/5/01,18.23,2002
2002/6/03,16.25,2002
2002/7/01,14.45,2002
2002/8/01,14.94,2002
2002/9/03,15.93,2002
2002/10/01,19.360001,2002
2002/11/01,23.35,2002
2002/12/02,18.889999,2002
2003/1/02,21.85,2003
2003/2/03,22.01,2003
2003/3/03,26.030001,2003
2003/4/01,28.690001,2003
2003/5/01,35.889999,2003
2003/6/02,36.32,2003
2003/7/01,41.639999,2003
2003/8/01,46.32,2003
2003/9/02,48.43,2003
2003/10/01,54.43,2003
2003/11/03,53.970001,2003
2003/12/01,52.619999,2003
2004/1/02,50.400002,2004
2004/2/02,43.009998,2004
2004/3/01,43.279999,2004
2004/4/01,43.599998,2004
2004/5/03,48.5,2004
2004/6/01,54.400002,2004
2004/7/01,38.919998,2004
2004/8/02,38.139999,2004
2004/9/01,40.860001,2004
2004/10/01,34.130001,2004
2004/11/01,39.68,2004
2004/12/01,44.290001,2004
2005/1/03,43.220001,2005
2005/2/01,35.18,2005
2005/3/01,34.27,2005
2005/4/01,32.360001,2005
2005/5/02,35.509998,2005
2005/6/01,33.09,2005
2005/7/01,45.150002,2005
2005/8/01,42.700001,2005
2005/9/01,45.299999,2005
2005/10/03,39.860001,2005
2005/11/01,48.459999,2005
2005/12/01,47.150002,2005
2006/1/03,44.82,2006
2006/2/01,37.439999,2006
2006/3/01,36.529999,2006
2006/4/03,35.209999,2006
2006/5/01,34.610001,2006
2006/6/01,38.68,2006
2006/7/03,26.889999,2006
2006/8/01,30.83,2006
2006/9/01,32.119999,2006
2006/10/02,38.09,2006
2006/11/01,40.34,2006
2006/12/01,39.459999,2006
2007/1/03,37.669998,2007
2007/2/01,39.139999,2007
2007/3/01,39.790001,2007
2007/4/02,61.330002,2007
2007/5/01,69.139999,2007
2007/6/01,68.410004,2007
2007/7/02,78.540001,2007
2007/8/01,79.910004,2007
2007/9/04,93.150002,2007
2007/10/01,89.150002,2007
2007/11/01,90.559998,2007
2007/12/03,92.639999,2007
2008/1/02,77.699997,2008
2008/2/01,64.470001,2008
2008/3/03,71.300003,2008
2008/4/01,78.629997,2008
2008/5/01,81.620003,2008
2008/6/02,73.330002,2008
2008/7/01,76.339996,2008
2008/8/01,80.809998,2008
2008/9/02,72.760002,2008
2008/10/01,57.240002,2008
2008/11/03,42.700001,2008
2008/12/01,51.279999,2008
2009/1/02,58.82,2009
2009/2/02,64.790001,2009
2009/3/02,73.440002,2009
2009/4/01,80.519997,2009
2009/5/01,77.989998,2009
2009/6/01,83.660004,2009
2009/7/01,85.760002,2009
2009/8/03,81.190002,2009
2009/9/01,93.360001,2009
2009/10/01,118.809998,2009
2009/11/02,135.910004,2009
2009/12/01,134.520004,2009
2010/1/04,125.410004,2010
2010/2/01,118.400002,2010
2010/3/01,135.770004,2010
2010/4/01,137.100006,2010
2010/5/03,125.459999,2010
2010/6/01,109.260002,2010
2010/7/01,117.889999,2010
2010/8/02,124.830002,2010
2010/9/01,157.059998,2010
2010/10/01,165.229996,2010
2010/11/01,175.399994,2010
2010/12/01,180,2010
2011/1/03,169.639999,2011
2011/2/01,173.289993,2011
2011/3/01,180.130005,2011
2011/4/01,195.809998,2011
2011/5/02,196.690002,2011
2011/6/01,204.490005,2011
2011/7/01,222.520004,2011
2011/8/01,215.229996,2011
2011/9/01,216.229996,2011
2011/10/03,213.509995,2011
2011/11/01,192.289993,2011
2011/12/01,173.100006,2011
2012/1/03,194.440002,2012
2012/2/01,179.690002,2012
2012/3/01,202.509995,2012
2012/4/02,231.899994,2012
2012/5/01,212.910004,2012
2012/6/01,228.350006,2012
2012/7/02,233.300003,2012
2012/8/01,248.270004,2012
2012/9/04,254.320007,2012
2012/10/01,232.889999,2012
2012/11/01,252.050003,2012
2012/12/03,250.869995,2012
2013/1/02,265.5,2013
2013/2/01,264.269989,2013
2013/3/01,266.48999,2013
2013/4/01,253.809998,2013
2013/5/01,269.200012,2013
2013/6/03,277.690002,2013
2013/7/01,301.220001,2013
2013/8/01,280.980011,2013
2013/9/03,312.640015,2013
2013/10/01,364.029999,2013
2013/11/01,393.619995,2013
2013/12/02,398.790009,2013
